video_id,clip_id,text,label,label_T,label_A,label_V,annotation,mode
video_0001,01,就是你如果你的话，这个这两天的话开的仓位有浮亏，不要把浮亏放大，这是我昨天讲的一句话是不是啊。,-0.6,-0.6,-0.6,0.0,Weak Negative,train
video_0001,02,可是你这两天再去看煤炭，那显然不是捡钱的机会了。,-1.0,-0.6,-1.0,0.4,Strong Negative,train
video_0002,01,我觉得还是一个中长期，肯定是利好。,0.6,0.2,0.8,0.0,Weak Positive,train
video_0002,02,那主要问题是什么呢，就是前期一段时间呢，像绿电啊风电啊，整个市场呢有点炒的有点透。,-1.0,-1.0,-0.6,-0.4,Strong Negative,train
video_0003,01,但是到了8月份我们觉得有风险吧里呢，整个行业呢，其实它是一个什么高弹性。,-1.0,0.2,-0.6,0.0,Strong Negative,train
video_0004,01,不做消费的话，然后三大赛道又很拥挤的情况之下，可能还是会去配部分去配置军工，把军工的整个配备去提高，因为机构目前在整个军工的一个配置占比只占百分之一点几啊。,0.6,-0.6,0.4,0.0,Weak Positive,train
video_0005,01,它就是套人的行情。,-1.0,-0.6,-0.4,0.4,Strong Negative,train
video_0005,02,所以说中午那一波人是有这个感觉啊，他提前做了消费地产，所以这一波聪明的人在今天早上出世实战的时候一定是高开的消费地产。,0.6,0.6,0.2,0.4,Weak Positive,train
video_0006,01,这个压制我们先讲技术方面技术方面3630点~3650点的技术压制是非常大的值到这个位置，它的技术压力是存在的。,-1.0,-1.0,-0.2,0.0,Strong Negative,train
video_0007,01,那从这次市场表现来讲呢，我们在年线附近3500点附近，反复给大家信心，就短期3500点或者是有多方抵抗的。,0.0,-0.2,-0.2,0.0,Neutral,train
video_0008,01,景气度很好，但是对于短期选手来说还是要看资金的动向，看资金最强的方向才是重点。,0.6,1.0,0.6,0.0,Weak Positive,train
video_0009,01,小公司大行业技术可能会突破，将可能会对我们没有一定的士气。,0.0,-0.6,0.4,0.4,Neutral,train
video_0010,01,这次反弹已经到了高位期间，你应该什么应该是减仓。,-0.4,-1.0,-0.8,0.4,Weak Negative,train
video_0011,01,你千万别跟着大家走心啊，追涨杀跌，一旦是一旦是转向了就不要来玩了。,-1.0,-0.6,-1.0,0.4,Strong Negative,train
video_0011,02,它的周期方向如果一旦见底坟头草了要涨三年。,-1.0,-0.6,-1.0,0.0,Strong Negative,train
video_0011,03,没有出现明显的多头，没有出现明显的涨势，那就不要去。,-0.6,-1.0,0.0,0.2,Weak Negative,train
